,Category,PP_Message,PP_Words,Message,Words,Words_Count,Chars_Count,Sents_Count,Punct_Count,All_Caps_Count,StopWords_Count,MeanLength,Comma_Count,QMark_Count,ExcMark_Count,Quotes_Count,Currency_Count
10,ham,gon na home soon nt want talk stuff anymor tonight  k  cri enough today ,"['gon' 'na' 'home' 'soon' 'nt' 'want' 'talk' 'stuff' 'anymor' 'tonight' ''
 'k' '' 'cri' 'enough' 'today' '']","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","['I', ""'m"", 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', ""n't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'I', ""'ve"", 'cried', 'enough', 'today', '.']",22,109,2,6,0,7,3.1785714285714284,1,1,0,0,0
11,spam,six chanc win cash    pound txt  csh send   cost pday  day   tsandc appli repli hl  info,"['six' 'chanc' 'win' 'cash' '' '' '' 'pound' 'txt' '' 'csh' 'send' '' ''
 'cost' 'pday' '' 'day' '' '' 'tsandc' 'appli' 'repli' 'hl' '' 'info']","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","['SIX', 'chances', 'to', 'win', 'CASH', '!', 'From', '100', 'to', '20,000', 'pounds', 'txt', '>', 'CSH11', 'and', 'send', 'to', '87575', '.', 'Cost', '150p/day', ',', '6days', ',', '16+', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']",23,136,3,8,4,4,3.5806451612903225,3,0,1,0,0
12,spam,urgent   week free membership  prize jackpot  txt word  claim    c wwwdbuknet lccltd pobox ldnwarw,"['urgent' '' '' 'week' 'free' 'membership' '' 'prize' 'jackpot' '' 'txt'
 'word' '' 'claim' '' '' '' 'c' 'wwwdbuknet' 'lccltd' 'pobox' 'ldnwarw']","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","['URGENT', '!', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', '£100,000', 'Prize', 'Jackpot', '!', 'Txt', 'the', 'word', ':', 'CLAIM', 'to', 'No', ':', '81010', 'T', '&', 'C', 'www.dbuk.net', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']",25,155,3,8,6,7,4.0625,1,0,2,0,1
13,ham,search right word thank breather  promis wont take help grant fulfil promis  wonder bless time ,"['search' 'right' 'word' 'thank' 'breather' '' 'promis' 'wont' 'take'
 'help' 'grant' 'fulfil' 'promis' '' 'wonder' 'bless' 'time' '']",I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,"['I', ""'ve"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'I', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times', '.']",37,196,3,4,0,19,3.902439024390244,0,0,0,0,0
14,ham,date sunday  ,['date' 'sunday' '' ''],I HAVE A DATE ON SUNDAY WITH WILL!!,"['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL', '!', '!']",8,35,1,2,6,0,2.8,0,0,2,0,0
15,spam,xxxmobilemovieclub  use credit  click wap link next txt messag click   http  wap  xxxmobilemovieclubcom  nqjkgighjjgcbl,"['xxxmobilemovieclub' '' 'use' 'credit' '' 'click' 'wap' 'link' 'next'
 'txt' 'messag' 'click' '' '' 'http' '' 'wap' '' 'xxxmobilemovieclubcom'
 '' 'nqjkgighjjgcbl']","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","['XXXMobileMovieClub', ':', 'To', 'use', 'your', 'credit', ',', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'n=QJKGIGHJJGCBL']",18,149,2,11,1,6,4.678571428571429,1,1,0,0,0
16,ham,oh k  watch  ,['oh' 'k' '' 'watch' '' ''],Oh k...i'm watching here:),"['Oh', 'k', '...', 'i', ""'m"", 'watching', 'here', ':', ')']",5,26,1,6,0,2,2.5555555555555554,0,0,0,0,0
17,ham,eh u rememb  spell name  ye  v naughti make v wet ,"['eh' 'u' 'rememb' '' 'spell' 'name' '' 'ye' '' 'v' 'naughti' 'make' 'v'
 'wet' '']",Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', '...', 'Yes', 'i', 'did', '.', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']",19,81,2,5,0,6,2.8636363636363638,0,0,0,0,0
18,ham,fine that way u feel  that way gota b,['fine' 'that' 'way' 'u' 'feel' '' 'that' 'way' 'gota' 'b'],Fine if thats the way u feel. Thats the way its gota b,"['Fine', 'if', 'that\x92s', 'the', 'way', 'u', 'feel', '.', 'That\x92s', 'the', 'way', 'its', 'gota', 'b']",13,56,2,1,0,4,3.142857142857143,0,0,0,0,0
19,spam,england v macedonia  dont miss goalsteam news  txt ur nation team  eg england  tri  wale  scotland txtú poboxoxwwq ,"['england' 'v' 'macedonia' '' 'dont' 'miss' 'goalsteam' 'news' '' 'txt'
 'ur' 'nation' 'team' '' 'eg' 'england' '' 'tri' '' 'wale' '' 'scotland'
 'txtú' 'poboxoxwwq' '']","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","['England', 'v', 'Macedonia', '-', 'dont', 'miss', 'the', 'goals/team', 'news', '.', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'Try', ':', 'WALES', ',', 'SCOTLAND', '4txt/ú1.20', 'POBOXox36504W45WQ', '16+']",21,155,2,8,3,3,4.714285714285714,1,0,0,0,0
20,ham,serious spell name ,['serious' 'spell' 'name' ''],Is that seriously how you spell his name?,"['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']",8,41,1,1,0,4,3.7777777777777777,0,1,0,0,0
21,ham, go tri  month ha ha joke,['' 'go' 'tri' '' 'month' 'ha' 'ha' 'joke'],I‘m going to try for 2 months ha ha only joking,"['I', '‘', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']",13,47,1,0,0,4,2.8461538461538463,0,0,0,0,0
22,ham,ü pay first lar  da stock comin ,['ü' 'pay' 'first' 'lar' '' 'da' 'stock' 'comin' ''],So ü pay first lar... Then when is da stock comin...,"['So', 'ü', 'pay', 'first', 'lar', '...', 'Then', 'when', 'is', 'da', 'stock', 'comin', '...']",11,52,1,6,0,2,3.230769230769231,0,0,0,0,0
23,ham,aft finish lunch go str lor  ard  smth lor  u finish ur lunch alreadi ,"['aft' 'finish' 'lunch' 'go' 'str' 'lor' '' 'ard' '' 'smth' 'lor' '' 'u'
 'finish' 'ur' 'lunch' 'alreadi' '']",Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', '.', 'Ard', '3', 'smth', 'lor', '.', 'U', 'finish', 'ur', 'lunch', 'already', '?']",20,88,3,3,0,5,3.0,0,1,0,0,0
24,ham,ffffffffff  alright way meet sooner ,['ffffffffff' '' 'alright' 'way' 'meet' 'sooner' ''],Ffffffffff. Alright no way I can meet up with you sooner?,"['Ffffffffff', '.', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']",11,57,2,2,0,5,3.6153846153846154,0,1,0,0,0
25,ham,forc eat slice  realli hungri tho  suck  mark get worri  know sick turn pizza  lol,"['forc' 'eat' 'slice' '' 'realli' 'hungri' 'tho' '' 'suck' '' 'mark' 'get'
 'worri' '' 'know' 'sick' 'turn' 'pizza' '' 'lol']",Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', '.', 'I', ""'m"", 'really', 'not', 'hungry', 'tho', '.', 'This', 'sucks', '.', 'Mark', 'is', 'getting', 'worried', '.', 'He', 'knows', 'I', ""'m"", 'sick', 'when', 'I', 'turn', 'down', 'pizza', '.', 'Lol']",28,144,6,7,0,7,3.342857142857143,0,0,0,0,0
26,ham,lol alway convinc ,['lol' 'alway' 'convinc' ''],Lol your always so convincing.,"['Lol', 'your', 'always', 'so', 'convincing', '.']",5,30,1,1,0,2,4.333333333333333,0,0,0,0,0
27,ham,catch bu  fri egg  make tea  eat mom left dinner  feel love ,"['catch' 'bu' '' 'fri' 'egg' '' 'make' 'tea' '' 'eat' 'mom' 'left'
 'dinner' '' 'feel' 'love' '']",Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,"['Did', 'you', 'catch', 'the', 'bus', '?', 'Are', 'you', 'frying', 'an', 'egg', '?', 'Did', 'you', 'make', 'a', 'tea', '?', 'Are', 'you', 'eating', 'your', 'mom', ""'s"", 'left', 'over', 'dinner', '?', 'Do', 'you', 'feel', 'my', 'Love', '?']",28,134,5,6,0,11,3.0294117647058822,0,5,0,0,0
28,ham,back  amp  pack car  let know room,['back' '' 'amp' '' 'pack' 'car' '' 'let' 'know' 'room'],"I'm back &amp; we're packing the car now, I'll let you know if there's room","['I', ""'m"", 'back', '&', 'amp', ';', 'we', ""'re"", 'packing', 'the', 'car', 'now', ',', 'I', ""'ll"", 'let', 'you', 'know', 'if', 'there', ""'s"", 'room']",15,75,1,7,0,6,2.772727272727273,1,0,0,0,0
29,ham,ahhh  work  vagu rememb  feel like  lol,['ahhh' '' 'work' '' 'vagu' 'rememb' '' 'feel' 'like' '' 'lol'],Ahhh. Work. I vaguely remember that! What does it feel like? Lol,"['Ahhh', '.', 'Work', '.', 'I', 'vaguely', 'remember', 'that', '!', 'What', 'does', 'it', 'feel', 'like', '?', 'Lol']",12,64,5,4,0,3,3.3125,0,1,1,0,0
30,ham,wait still clear  sure sarcast x nt want live us,['wait' 'still' 'clear' '' 'sure' 'sarcast' 'x' 'nt' 'want' 'live' 'us'],"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","['Wait', 'that', ""'s"", 'still', 'not', 'all', 'that', 'clear', ',', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'that', ""'s"", 'why', 'x', 'does', ""n't"", 'want', 'to', 'live', 'with', 'us']",26,130,1,4,0,17,3.5,1,0,0,0,0
31,ham,yeah got  v apologet  n fallen actin like spoilt child got caught  till   wo nt go  badli cheer  ,"['yeah' 'got' '' 'v' 'apologet' '' 'n' 'fallen' 'actin' 'like' 'spoilt'
 'child' 'got' 'caught' '' 'till' '' '' 'wo' 'nt' 'go' '' 'badli' 'cheer'
 '' '']",Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,"['Yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', '.', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', '.', 'Till', '2', '!', 'But', 'we', 'wo', ""n't"", 'go', 'there', '!', 'Not', 'doing', 'too', 'badly', 'cheers', '.', 'You', '?']",41,188,6,7,0,19,3.0833333333333335,0,1,2,0,0
32,ham,k tell anyth ,['k' 'tell' 'anyth' ''],K tell me anything about you.,"['K', 'tell', 'me', 'anything', 'about', 'you', '.']",6,29,1,1,0,3,3.4285714285714284,0,0,0,0,0
33,ham,fear faint housework  quick cuppa,['fear' 'faint' 'housework' '' 'quick' 'cuppa'],For fear of fainting with the of all that housework you just did? Quick have a cuppa,"['For', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', '?', 'Quick', 'have', 'a', 'cuppa']",17,84,2,1,0,11,3.7777777777777777,0,1,0,0,0
34,spam,thank subscript rington uk mobil charg month pleas confirm repli ye  repli charg,"['thank' 'subscript' 'rington' 'uk' 'mobil' 'charg' 'month' 'pleas'
 'confirm' 'repli' 'ye' '' 'repli' 'charg']",Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"['Thanks', 'for', 'your', 'subscription', 'to', 'Ringtone', 'UK', 'your', 'mobile', 'will', 'be', 'charged', '£5/month', 'Please', 'confirm', 'by', 'replying', 'YES', 'or', 'NO', '.', 'If', 'you', 'reply', 'NO', 'you', 'will', 'not', 'be', 'charged']",28,158,2,2,4,13,4.333333333333333,0,0,0,0,1
35,ham,yup  ok go home look time msg ü  xuhui go learn nd may lesson,"['yup' '' 'ok' 'go' 'home' 'look' 'time' 'msg' 'ü' '' 'xuhui' 'go' 'learn'
 'nd' 'may' 'lesson']",Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"['Yup', '...', 'Ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again', '...', 'Xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']",28,122,1,6,0,13,3.1666666666666665,0,0,0,0,0
36,ham,oop  let know roommat done,['oop' '' 'let' 'know' 'roommat' 'done'],"Oops, I'll let you know when my roommate's done","['Oops', ',', 'I', ""'ll"", 'let', 'you', 'know', 'when', 'my', 'roommate', ""'s"", 'done']",9,47,1,3,0,3,3.25,1,0,0,0,0
37,ham,see letter b car,['see' 'letter' 'b' 'car'],I see the letter B on my car,"['I', 'see', 'the', 'letter', 'B', 'on', 'my', 'car']",8,28,1,0,0,3,2.625,0,0,0,0,0
38,ham,anyth lor  u decid ,['anyth' 'lor' '' 'u' 'decid' ''],Anything lor... U decide...,"['Anything', 'lor', '...', 'U', 'decide', '...']",4,27,1,6,0,0,4.0,0,0,0,0,0
39,ham,hello  saturday go  text see decid anyth tomo  tri invit anyth ,"['hello' '' 'saturday' 'go' '' 'text' 'see' 'decid' 'anyth' 'tomo' ''
 'tri' 'invit' 'anyth' '']",Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"['Hello', '!', 'How', ""'s"", 'you', 'and', 'how', 'did', 'saturday', 'go', '?', 'I', 'was', 'just', 'texting', 'to', 'see', 'if', 'you', ""'d"", 'decided', 'to', 'do', 'anything', 'tomo', '.', 'Not', 'that', 'i', ""'m"", 'trying', 'to', 'invite', 'myself', 'or', 'anything', '!']",30,155,4,7,0,16,3.4054054054054053,0,1,2,0,0
40,ham,pl go ahead watt  want sure  great weekend  abiola,"['pl' 'go' 'ahead' 'watt' '' 'want' 'sure' '' 'great' 'weekend' ''
 'abiola']",Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"['Pls', 'go', 'ahead', 'with', 'watts', '.', 'I', 'just', 'wanted', 'to', 'be', 'sure', '.', 'Do', 'have', 'a', 'great', 'weekend', '.', 'Abiola']",17,82,4,3,0,6,3.3,0,0,0,0,0
41,ham,forget tell  want  need  crave   love sweet arabian steed  mmmmmm  yummi,"['forget' 'tell' '' 'want' '' 'need' '' 'crave' '' '' 'love' 'sweet'
 'arabian' 'steed' '' 'mmmmmm' '' 'yummi']","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","['Did', 'I', 'forget', 'to', 'tell', 'you', '?', 'I', 'want', 'you', ',', 'I', 'need', 'you', ',', 'I', 'crave', 'you', '...', 'But', 'most', 'of', 'all', '...', 'I', 'love', 'you', 'my', 'sweet', 'Arabian', 'steed', '...', 'Mmmmmm', '...', 'Yummy']",28,142,2,15,0,10,3.1142857142857143,2,1,0,0,0
42,spam,  rodger burn  msg  tri call repli sm free nokia mobil  free camcord  pleas call  deliveri tomorrow,"['' '' 'rodger' 'burn' '' 'msg' '' 'tri' 'call' 'repli' 'sm' 'free'
 'nokia' 'mobil' '' 'free' 'camcord' '' 'pleas' 'call' '' 'deliveri'
 'tomorrow']",07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"['07732584351', '-', 'Rodger', 'Burns', '-', 'MSG', '=', 'We', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', '+', 'free', 'camcorder', '.', 'Please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']",29,172,2,5,1,10,4.117647058823529,0,0,0,0,0
43,ham,see ,['see' ''],WHO ARE YOU SEEING?,"['WHO', 'ARE', 'YOU', 'SEEING', '?']",4,19,1,1,4,0,3.2,0,1,0,0,0
44,ham,great  hope like man well endow   lt    gt  inch ,"['great' '' 'hope' 'like' 'man' 'well' 'endow' '' '' 'lt' '' '' '' 'gt' ''
 'inch' '']",Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"['Great', '!', 'I', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', '.', 'I', 'am', '&', 'lt', ';', '#', '&', 'gt', ';', 'inches', '...']",14,72,3,10,0,3,2.6363636363636362,0,0,1,0,0
45,ham,call  messag  miss call,['call' '' 'messag' '' 'miss' 'call'],No calls..messages..missed calls,"['No', 'calls', '..', 'messages', '..', 'missed', 'calls']",5,32,1,4,0,0,4.285714285714286,0,0,0,0,0
46,ham,nt get hep b immunis nigeria ,['nt' 'get' 'hep' 'b' 'immunis' 'nigeria' ''],Didn't you get hep b immunisation in nigeria.,"['Did', ""n't"", 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria', '.']",8,45,1,2,0,2,3.8,0,0,0,0,0
47,ham,fair enough  anyth go ,['fair' 'enough' '' 'anyth' 'go' ''],"Fair enough, anything going on?","['Fair', 'enough', ',', 'anything', 'going', 'on', '?']",5,31,1,2,0,1,3.857142857142857,1,1,0,0,0
48,ham,yeah hope  tyler ca nt could mayb ask around bit,['yeah' 'hope' '' 'tyler' 'ca' 'nt' 'could' 'mayb' 'ask' 'around' 'bit'],"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","['Yeah', 'hopefully', ',', 'if', 'tyler', 'ca', ""n't"", 'do', 'it', 'I', 'could', 'maybe', 'ask', 'around', 'a', 'bit']",14,67,1,2,0,4,3.375,1,0,0,0,0
49,ham,u nt know stubborn  nt even want go hospit  kept tell mark weak sucker  hospit weak sucker ,"['u' 'nt' 'know' 'stubborn' '' 'nt' 'even' 'want' 'go' 'hospit' '' 'kept'
 'tell' 'mark' 'weak' 'sucker' '' 'hospit' 'weak' 'sucker' '']",U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"['U', 'do', ""n't"", 'know', 'how', 'stubborn', 'I', 'am', '.', 'I', 'did', ""n't"", 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', '.', 'I', 'kept', 'telling', 'Mark', 'I', ""'m"", 'not', 'a', 'weak', 'sucker', '.', 'Hospitals', 'are', 'for', 'weak', 'suckers', '.']",30,148,4,7,0,11,3.2162162162162162,0,0,0,0,0
50,ham,think  first time saw class ,['think' '' 'first' 'time' 'saw' 'class' ''],What you thinked about me. First time you saw me in class.,"['What', 'you', 'thinked', 'about', 'me', '.', 'First', 'time', 'you', 'saw', 'me', 'in', 'class', '.']",12,58,2,2,0,6,3.357142857142857,0,0,0,0,0
51,ham,gram usual run like  lt    gt   half eighth smarter though get almost whole second gram  lt    gt ,"['gram' 'usual' 'run' 'like' '' 'lt' '' '' '' 'gt' '' '' 'half' 'eighth'
 'smarter' 'though' 'get' 'almost' 'whole' 'second' 'gram' '' 'lt' '' ''
 '' 'gt' '']","A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","['A', 'gram', 'usually', 'runs', 'like', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for', '&', 'lt', ';', '#', '&', 'gt', ';']",24,124,1,11,0,6,2.857142857142857,1,0,0,0,0
52,ham,k fyi x ride earli tomorrow morn crash place tonight,['k' 'fyi' 'x' 'ride' 'earli' 'tomorrow' 'morn' 'crash' 'place' 'tonight'],K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"['K', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', 'he', ""'s"", 'crashing', 'at', 'our', 'place', 'tonight']",16,80,1,1,0,6,3.823529411764706,0,0,0,0,0
